1;H;1
2;He;4
3;Li;7
4;Be;9
5;B;11
6;C;12
7;N;14
8;O;16
9;F;19
10;Ne;20
11;Na;23
12;Mg;24
13;Al;27
14;Si;28
15;P;31
16;S;32
17;Cl;35
18;Ar;40
19;K;39
20;Ca;40
21;Sc;45
22;Ti;48
23;V;51
24;Cr;52
25;Mn;55
26;Fe;56
27;Co;59
28;Ni;59
29;Cu;64
30;Zn;65
31;Ga;70
32;Ge;73
33;As;75
34;Se;79
35;Br;80
36;Kr;84
37;Rb;85
38;Sr;88
39;Y;89
40;Zr;91
41;Nb;93
42;Mo;96
43;Tc;98
44;Ru;101
45;Rh;103
46;Pd;106
47;Ag;108
48;Cd;112
49;In;115
50;Sn;119
51;Sb;122
52;Te;128
53;I;127
54;Xe;131
55;Cs;133
56;Ba;137
72;Hf;178
73;Ta;181
74;W;184
75;Re;186
76;Os;190
77;Ir;192
78;Pt;195
79;Au;197
80;Hg;200
81;Tl;204
82;Pb;207
83;Bi;209
84;Po;209
85;At;210
86;Rn;222
87;Fr;223
88;Ra;226
